Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
32,Male,United Kingdom,No,Yes,Yes,Sometimes,100-500,Yes,Don't know,Not sure,No,No,Don't know,Medium,Yes,Maybe,No,No,No,No,No,Yes
21,Male,Canada,No,No,Yes,Sometimes,6-25,Yes,No,Yes,No,No,Don't know,Medium,No,No,Some of them,Some of them,Maybe,Maybe,Yes,No
30,Male,United States,No,No,Yes,Often,26-100,No,No,Yes,No,No,Yes,Medium,Maybe,No,Yes,Yes,No,Maybe,Don't know,No
24,Male,United States,No,No,No,Never,26-100,No,Don't know,Not sure,No,Don't know,Don't know,Medium,No,No,Some of them,Yes,No,No,Don't know,No
26,Male,Bulgaria,No,No,No,Sometimes,100-500,No,No,No,No,No,No,Easy,Yes,Maybe,No,No,No,Maybe,Don't know,No
40,Female,United States,No,No,No,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Medium,No,No,Some of them,Yes,No,No,Yes,No
26,Male,United Kingdom,Yes,No,Yes,Often,1-5,Yes,No,No,No,No,Don't know,Medium,Yes,No,No,No,No,Maybe,Don't know,No
32,Female,United States,No,Yes,Yes,Sometimes,6-25,No,Don't know,No,No,No,No,Medium,Yes,Maybe,Some of them,Some of them,No,Maybe,No,Yes
27,Female,United States,Yes,Yes,Yes,Sometimes,1-5,Yes,No,No,Don't know,Don't know,Don't know,Difficult,No,No,Some of them,No,No,No,Don't know,No
30,Male,Germany,Yes,No,Yes,Often,6-25,Yes,Yes,Yes,No,No,Yes,Difficult,No,No,Some of them,Yes,Maybe,Yes,Yes,No
31,Male,Canada,Yes,No,No,Sometimes,6-25,No,Yes,Yes,No,Don't know,Yes,Easy,No,No,Some of them,Some of them,No,No,Yes,No
41,Male,United States,No,No,No,Sometimes,26-100,No,Yes,Not sure,No,No,Don't know,Easy,Yes,No,No,Some of them,No,No,Don't know,No
34,Female,United States,No,No,No,Sometimes,6-25,No,Yes,No,No,No,Don't know,Medium,No,No,Yes,Yes,Maybe,Maybe,Yes,No
33,Male,United Kingdom,No,No,No,Sometimes,26-100,No,Don't know,No,No,No,Don't know,Medium,No,No,Yes,Yes,Yes,Yes,Don't know,No
28,Male,United States,No,No,No,Rarely,6-25,No,Don't know,No,No,No,Don't know,Medium,No,No,Some of them,Some of them,No,Maybe,Don't know,No
28,Male,United States,No,No,Yes,Sometimes,More than 1000,No,No,Yes,No,No,Yes,Difficult,Yes,No,No,Some of them,No,No,No,No
23,Male,United States,No,No,No,Never,26-100,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,No,No,No,Yes,No,Yes,Yes,No
24,Male,United States,No,No,No,Sometimes,1-5,No,Don't know,No,Don't know,No,Yes,Easy,No,No,Yes,Yes,Maybe,Yes,Yes,No
32,Male,United States,No,No,No,Rarely,1-5,Yes,No,Yes,No,No,Don't know,Difficult,No,No,Some of them,Yes,No,Maybe,Yes,No
34,Male,Australia,Yes,No,No,Sometimes,1-5,Yes,Don't know,Not sure,Yes,Yes,Don't know,Medium,Yes,Yes,No,No,No,Maybe,Yes,No
24,Male,United States,No,No,No,Never,6-25,No,Yes,Not sure,No,Don't know,Don't know,Easy,Maybe,No,Some of them,No,Maybe,Maybe,Yes,No
26,Male,United Kingdom,Yes,No,Yes,Sometimes,1-5,No,No,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No
36,Male,United States,No,No,Yes,Sometimes,26-100,No,Yes,No,No,Yes,Don't know,Medium,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,Yes
41,Male,United States,No,No,Yes,Rarely,500-1000,Yes,Yes,Yes,No,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,No,Maybe,Maybe,No,No
38,Male,United States,No,No,No,Sometimes,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,Yes,No,Maybe,No,No
30,Male,Netherlands,No,No,No,Sometimes,26-100,No,Don't know,No,Don't know,Don't know,Yes,Medium,No,No,Some of them,Some of them,No,No,Yes,No
25,Male,United Kingdom,No,No,No,Never,26-100,No,No,No,No,No,Don't know,Medium,Yes,Maybe,No,No,No,Maybe,No,No
37,Male,Canada,No,Yes,Yes,Often,26-100,No,Yes,Yes,No,Don't know,Don't know,Medium,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No
34,Male,United Kingdom,No,Yes,No,Sometimes,6-25,No,No,No,No,No,Yes,Medium,No,No,Some of them,Yes,No,Yes,No,Yes
22,Male,Sweden,No,No,No,Sometimes,6-25,No,Don't know,No,No,No,Don't know,Medium,No,No,Some of them,Yes,Maybe,Maybe,No,No
34,Male,United States,No,Yes,Yes,Sometimes,1-5,No,No,No,No,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,Maybe,No,Yes
33,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Medium,No,No,Some of them,Yes,No,No,Don't know,No
25,Male,South Africa,No,No,No,Sometimes,6-25,No,No,No,No,No,Yes,Medium,Maybe,No,Some of them,Yes,No,Yes,No,No
27,Male,United States,No,No,No,Never,More than 1000,Yes,Yes,Yes,Don't know,Don't know,Yes,Medium,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
40,Male,United States,No,No,Yes,Sometimes,More than 1000,Yes,Yes,Yes,Yes,Yes,Yes,Medium,Yes,Maybe,No,No,No,Maybe,No,Yes
32,Male,United States,No,Yes,Yes,Sometimes,1-5,Yes,No,No,No,No,Don't know,Medium,Maybe,No,Yes,Yes,No,Yes,Don't know,No
28,Male,United States,No,Yes,No,Sometimes,100-500,No,Yes,No,No,Don't know,Yes,Medium,No,No,Some of them,Yes,No,Maybe,Yes,Yes
31,Male,United States,No,Yes,Yes,Rarely,100-500,Yes,Yes,Yes,Yes,Don't know,Yes,Easy,No,No,Some of them,Yes,No,Maybe,Yes,No
24,Male,United States,No,No,No,Sometimes,6-25,No,Don't know,No,Don't know,Don't know,Don't know,Medium,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
29,Male,Canada,No,No,No,Often,6-25,No,No,No,No,No,Don't know,Medium,Yes,No,No,No,No,Maybe,Don't know,No
23,Female,United Kingdom,No,No,Yes,Sometimes,6-25,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No
42,Male,United States,No,No,No,Never,6-25,Yes,No,Yes,No,Yes,Don't know,Medium,No,No,Some of them,Yes,No,No,Yes,No
24,Male,United Kingdom,No,No,No,Sometimes,1-5,No,No,No,No,No,Don't know,Medium,Yes,No,Some of them,Some of them,No,Yes,No,No
25,Male,Australia,No,Yes,Yes,Often,6-25,No,No,Yes,No,No,No,Difficult,Yes,Maybe,No,No,No,Yes,No,Yes
27,Female,United States,No,No,Yes,Rarely,6-25,No,Yes,No,No,No,Yes,Medium,Maybe,Maybe,Yes,No,No,Maybe,Don't know,No
27,Male,Canada,No,No,No,Sometimes,6-25,Yes,No,Yes,No,No,No,Difficult,Yes,Yes,Some of them,Some of them,No,Maybe,No,No
30,Male,United States,No,No,Yes,Sometimes,100-500,Yes,Yes,Yes,No,Yes,Yes,Medium,No,No,Yes,Yes,Maybe,No,Yes,No
29,Male,Poland,No,Yes,Yes,Rarely,6-25,No,No,Yes,No,No,Yes,Difficult,Maybe,No,Some of them,Some of them,No,Yes,No,No
43,Male,Canada,Yes,No,No,Sometimes,6-25,Yes,No,Not sure,No,No,Don't know,Medium,Maybe,No,Yes,Yes,Yes,Yes,Don't know,No
32,Male,United States,No,No,No,Sometimes,6-25,No,No,Yes,No,Don't know,Don't know,Easy,No,No,Some of them,Yes,No,Maybe,Don't know,No
41,Male,United States,No,No,Yes,Sometimes,26-100,Yes,Yes,Yes,Don't know,No,Don't know,Easy,No,No,Yes,Yes,Yes,Yes,Yes,No
32,Male,United Kingdom,Yes,Yes,Yes,Sometimes,1-5,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Easy,Maybe,Maybe,Yes,Some of them,Maybe,Maybe,Don't know,Yes
37,Female,United States,No,Yes,Yes,Often,26-100,No,Yes,Yes,No,No,Yes,Medium,Maybe,No,Some of them,Some of them,No,Yes,Don't know,No
32,Male,United States,No,No,No,Never,6-25,Yes,No,No,No,No,Don't know,Easy,No,No,Yes,Yes,No,No,Don't know,No
30,Male,Ireland,Yes,No,No,Sometimes,1-5,Yes,No,No,No,No,Don't know,Medium,No,No,Some of them,Some of them,No,Maybe,No,No
30,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Some of them,Yes,No,No,Yes,No
34,Male,United Kingdom,No,No,No,Sometimes,26-100,No,No,Yes,No,No,Don't know,Medium,Maybe,Maybe,Yes,Some of them,No,No,Don't know,No
38,Male,United States,No,No,Yes,Rarely,26-100,Yes,Yes,No,No,No,Don't know,Medium,Yes,No,No,No,No,Maybe,No,No
33,Male,Canada,No,No,No,Sometimes,100-500,No,Yes,No,Yes,Yes,Yes,Medium,No,No,Some of them,Yes,No,No,Don't know,No
28,Male,Colombia,No,No,No,Sometimes,6-25,No,No,Yes,No,No,Don't know,Medium,Maybe,Maybe,No,Some of them,No,No,Don't know,No
23,Male,United States,No,Yes,No,Sometimes,100-500,No,Don't know,No,No,Don't know,Don't know,Medium,Maybe,No,Some of them,No,No,Maybe,No,No
22,Male,Australia,Yes,Yes,Yes,Sometimes,6-25,Yes,Don't know,Not sure,Yes,Yes,Don't know,Medium,Maybe,No,Some of them,Yes,No,Yes,No,Yes
27,Male,Portugal,No,No,No,Never,6-25,No,No,No,No,No,Yes,Medium,Yes,No,No,No,No,Maybe,Don't know,No
18,Male,United States,No,No,Yes,Sometimes,6-25,No,Don't know,No,No,Don't know,Don't know,Medium,Yes,No,No,No,No,Maybe,Don't know,No
35,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,No,Yes,Medium,Yes,No,No,Some of them,No,Maybe,Don't know,No
27,Male,United Kingdom,No,Yes,Yes,Sometimes,6-25,No,No,No,No,No,Yes,Medium,Maybe,Maybe,Yes,Yes,Yes,Yes,Yes,No
26,Female,United States,No,Yes,Yes,Rarely,More than 1000,No,Yes,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,No,Some of them,Some of them,No,No,Don't know,No
18,Male,United States,No,No,No,Never,26-100,No,Don't know,Not sure,Don't know,Don't know,Don't know,Easy,No,No,Some of them,Some of them,No,Maybe,Yes,No
38,Female,United States,No,No,Yes,Sometimes,1-5,No,No,Yes,No,No,Don't know,Medium,No,Maybe,Some of them,No,No,No,Don't know,Yes
26,Female,United States,No,Yes,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,Don't know,Don't know,Medium,Maybe,No,Some of them,No,No,No,Don't know,No
30,Male,Switzerland,Yes,No,No,Never,1-5,No,No,No,No,No,No,Medium,No,No,Yes,Yes,No,No,Yes,No
35,Male,United States,No,No,No,Never,More than 1000,No,Don't know,No,No,Don't know,Don't know,Medium,Yes,Maybe,Some of them,Some of them,No,No,Don't know,No
45,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Don't know,Don't know,Yes,Medium,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
32,Male,United States,No,No,No,Never,More than 1000,No,Yes,No,No,Don't know,Don't know,Medium,Maybe,No,Some of them,Some of them,No,No,Don't know,No
56,Male,United States,No,No,Yes,Never,More than 1000,No,Yes,Not sure,Don't know,Don't know,Don't know,Medium,No,Maybe,Yes,Some of them,No,Maybe,Don't know,No
24,Female,United States,No,No,No,Sometimes,500-1000,No,Don't know,Not sure,No,Don't know,Don't know,Medium,Maybe,Maybe,Some of them,No,No,Maybe,No,No
30,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Don't know,Don't know,Easy,No,No,Yes,Yes,No,Yes,Yes,No
60,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,No,Don't know,Yes,Don't know,Medium,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
33,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,No,Yes,Yes,Don't know,Medium,Yes,No,No,No,No,Maybe,Don't know,No
37,Male,United States,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Don't know,Medium,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
23,Female,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Don't know,Medium,No,No,Some of them,Some of them,No,No,Yes,No
31,Female,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Not sure,Don't know,Don't know,Yes,Medium,No,No,Yes,Yes,No,No,Yes,No
26,Male,United States,No,No,No,Rarely,100-500,No,Yes,Not sure,No,Don't know,Don't know,Medium,No,No,Some of them,Yes,No,Maybe,Don't know,No
37,Female,United States,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,Don't know,Yes,Don't know,Medium,No,No,Some of them,Yes,No,No,Yes,No
26,Male,Canada,No,Yes,Yes,Often,6-25,No,Yes,No,No,Don't know,Don't know,Medium,Maybe,No,Some of them,Some of them,Maybe,Maybe,Yes,No
30,Other,United States,No,Yes,Yes,Rarely,26-100,No,Yes,Not sure,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,Don't know,No
26,Male,United States,No,No,No,Sometimes,26-100,No,No,No,No,No,Don't know,Medium,No,No,Some of them,Some of them,No,No,Don't know,Yes
25,Male,United States,No,No,No,Sometimes,26-100,Yes,Don't know,Not sure,No,Don't know,Don't know,Medium,No,No,Some of them,Yes,No,No,Don't know,No
27,Male,United States,No,No,No,Sometimes,100-500,No,Yes,Not sure,Yes,Yes,Don't know,Medium,Maybe,No,Some of them,Yes,No,Maybe,Don't know,No
35,Male,United States,No,No,Yes,Rarely,100-500,No,Yes,Not sure,Don't know,Yes,Don't know,Medium,No,No,Some of them,Yes,No,No,Don't know,No
36,Male,United States,Yes,No,Yes,Never,1-5,No,No,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,Yes,No
26,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Not sure,No,Don't know,Don't know,Medium,Yes,No,No,No,No,No,No,No
27,Male,United States,No,Yes,No,Sometimes,More than 1000,No,Don't know,No,Don't know,Don't know,Don't know,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
22,Female,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Medium,Maybe,No,No,Some of them,No,No,Yes,Yes
29,Male,Latvia,No,No,No,Sometimes,26-100,No,No,Yes,No,No,Don't know,Medium,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
41,Male,United States,No,Yes,Yes,Rarely,100-500,Yes,Yes,Yes,Don't know,Yes,Yes,Medium,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
29,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,No,No,Don't know,Don't know,Medium,Yes,No,Some of them,Some of them,No,Maybe,No,No
32,Male,United States,No,No,No,Never,500-1000,No,Yes,Not sure,Don't know,Yes,Yes,Medium,No,No,Some of them,Yes,Maybe,Maybe,Yes,No
24,Female,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,No,Yes,Yes,Medium,Maybe,No,Some of them,No,No,Maybe,Don't know,No
25,Male,United States,No,No,Yes,Rarely,6-25,No,Yes,No,Don't know,No,Don't know,Medium,Maybe,No,No,No,No,No,Don't know,No
25,Male,United States,No,No,No,Sometimes,More than 1000,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,No,No,No,No,Maybe,Don't know,No
30,Female,United States,No,No,No,Never,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Medium,Maybe,Maybe,No,Some of them,No,No,Don't know,No
25,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Don't know,Not sure,Don't know,Yes,Don't know,Medium,No,No,Yes,Yes,No,No,Yes,No
30,Male,United States,Yes,No,No,Never,1-5,Yes,No,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,Maybe,Don't know,No
24,Male,United States,No,No,No,Sometimes,26-100,No,Yes,Not sure,Yes,Yes,Yes,Easy,No,No,Some of them,Some of them,No,Maybe,Yes,No
25,Male,Canada,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,No,Don't know,Don't know,Medium,Yes,Maybe,Some of them,No,No,No,No,No
45,Male,Ireland,Yes,No,Yes,Often,1-5,No,No,No,No,No,Don't know,Difficult,No,No,No,No,No,No,Don't know,No
46,Male,United States,No,No,No,Never,26-100,No,Yes,Not sure,Yes,Don't know,Don't know,Easy,No,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
30,Male,United Kingdom,No,No,Yes,Sometimes,26-100,No,Don't know,No,No,Don't know,Don't know,Medium,Yes,Maybe,No,No,No,Maybe,Don't know,No
29,Female,United States,Yes,No,No,Sometimes,More than 1000,No,Yes,Not sure,Don't know,No,Don't know,Easy,Maybe,Maybe,Some of them,Some of them,No,No,Don't know,No
24,Male,United States,No,No,No,Sometimes,More than 1000,No,Yes,Yes,Don't know,Don't know,Yes,Medium,Yes,No,No,No,No,Maybe,Don't know,No
29,Male,United States,No,No,No,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Some of them,Yes,No,Maybe,Yes,No
33,Female,United States,No,Yes,No,Sometimes,26-100,Yes,No,Yes,No,No,Don't know,Difficult,Yes,Maybe,Some of them,Some of them,No,Maybe,No,No
27,Male,United States,No,No,No,Sometimes,More than 1000,No,Don't know,Not sure,Don't know,Don't know,Don't know,Easy,Yes,No,No,No,No,Maybe,No,No
36,Male,United States,No,No,No,Sometimes,More than 1000,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,Maybe,No,Some of them,Some of them,No,No,Don't know,No
33,Male,United Kingdom,No,No,No,Rarely,1-5,Yes,Don't know,No,No,No,Don't know,Medium,Yes,Maybe,No,No,No,Maybe,No,No
25,Female,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,No,Yes,Medium,No,No,Some of them,Yes,No,No,Don't know,No
54,Male,United States,No,Yes,Yes,Never,More than 1000,No,Don't know,No,Yes,Yes,Don't know,Medium,No,No,No,Yes,No,No,Don't know,No
22,Male,United States,No,No,No,Sometimes,More than 1000,No,Don't know,No,Don't know,Don't know,Don't know,Medium,Maybe,No,Some of them,No,No,Maybe,Don't know,No
25,Other,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Don't know,Don't know,Don't know,Medium,Maybe,No,Some of them,Some of them,No,No,Yes,No
27,Male,United States,No,No,Yes,Sometimes,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Medium,No,No,No,No,No,Yes,Yes,No
30,Male,United Kingdom,No,No,No,Never,6-25,No,No,No,No,Don't know,Don't know,Easy,No,No,Some of them,Yes,No,Maybe,Yes,No
26,Male,United States,No,Yes,Yes,Often,More than 1000,No,Yes,Not sure,Don't know,Yes,Don't know,Medium,Maybe,No,Some of them,No,No,No,Don't know,No
25,Female,Sweden,No,Yes,No,Sometimes,6-25,No,Yes,Yes,Yes,No,Don't know,Medium,No,No,Some of them,Yes,No,No,No,No
33,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Don't know,Not sure,No,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,No,Don't know,No
34,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Yes,Don't know,Yes,Yes,Medium,Maybe,Maybe,No,No,No,No,Don't know,No
34,Male,United States,No,No,Yes,Sometimes,100-500,Yes,No,No,No,No,Don't know,Medium,Yes,Yes,Some of them,Some of them,No,Maybe,Don't know,No
29,Male,United States,Yes,No,No,Sometimes,1-5,Yes,No,Yes,No,No,Yes,Easy,No,No,Yes,Yes,Maybe,Maybe,Yes,No
33,Female,United States,No,No,No,Sometimes,6-25,No,No,No,No,No,Don't know,Medium,Maybe,No,Some of them,Some of them,No,No,Don't know,No
34,Male,Germany,Yes,Yes,Yes,Rarely,26-100,Yes,No,No,No,Don't know,Don't know,Medium,No,No,Yes,Yes,No,Maybe,Yes,No
28,Male,United States,No,Yes,Yes,Sometimes,More than 1000,No,Don't know,Not sure,No,Don't know,Don't know,Medium,Maybe,Maybe,No,No,No,No,No,No
35,Male,United States,No,Yes,No,Sometimes,More than 1000,No,Yes,No,Yes,Yes,Yes,Easy,No,No,Some of them,Yes,No,No,Don't know,No
36,Male,United States,No,Yes,Yes,Often,100-500,No,No,Yes,No,No,Yes,Easy,No,No,Some of them,Some of them,No,No,Don't know,No
21,Male,United States,No,Yes,Yes,Rarely,100-500,No,Yes,No,No,Don't know,Yes,Medium,No,No,Yes,Yes,Maybe,Maybe,Don't know,No
22,Female,United States,No,No,No,Sometimes,More than 1000,No,Yes,No,Yes,Yes,Yes,Medium,No,No,No,Some of them,No,No,Yes,No
41,Male,United States,No,Yes,Yes,Often,More than 1000,No,Yes,No,Yes,Yes,Don't know,Medium,Maybe,No,Yes,Some of them,No,Maybe,No,Yes
55,Male,United States,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,Yes,Yes,Yes,Easy,No,No,Yes,Yes,No,No,Yes,No
32,Female,United States,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,Yes,Yes,Medium,Maybe,No,Some of them,Yes,No,Maybe,Yes,No
21,Female,United States,No,Yes,Yes,Rarely,26-100,No,Don't know,Not sure,Don't know,No,Don't know,Medium,Yes,No,Some of them,No,No,Yes,Don't know,No
45,Male,United States,No,No,Yes,Never,26-100,Yes,Yes,Yes,Don't know,Don't know,Don't know,Medium,Maybe,No,No,Some of them,No,Maybe,Don't know,No
27,Female,United States,No,No,Yes,Rarely,More than 1000,No,Yes,Yes,No,No,Yes,Medium,Yes,Maybe,No,No,No,No,No,No
25,Female,United States,No,Yes,Yes,Sometimes,26-100,Yes,Don't know,No,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,Yes,No
26,Female,United States,No,Yes,Yes,Never,More than 1000,No,Yes,Yes,No,Yes,Yes,Medium,Maybe,No,No,No,No,No,Don't know,No
41,Male,Canada,No,No,Yes,Never,500-1000,No,Yes,Not sure,No,Don't know,Don't know,Medium,No,No,Some of them,Some of them,No,No,Don't know,No
27,Male,United States,No,No,Yes,Rarely,More than 1000,No,Yes,No,Yes,Yes,Yes,Medium,No,No,Some of them,Yes,No,Maybe,Yes,No
31,Male,United States,No,Yes,Yes,Sometimes,26-100,Yes,Yes,No,No,No,Don't know,Medium,No,No,Yes,Yes,No,No,Don't know,No
25,Male,Germany,No,Yes,Yes,Often,26-100,Yes,No,No,No,No,Yes,Medium,No,No,Yes,Yes,No,Yes,No,No
26,Male,United States,No,No,Yes,Sometimes,6-25,No,Don't know,No,No,No,Don't know,Medium,Yes,Yes,Some of them,No,No,No,No,No
27,Female,United States,No,Yes,Yes,Rarely,More than 1000,Yes,Yes,Yes,No,Don't know,Don't know,Medium,Maybe,Maybe,No,Yes,No,No,Don't know,No
42,Male,New Zealand,No,No,No,Never,500-1000,No,Don't know,Not sure,No,No,Don't know,Medium,No,No,Some of them,Yes,Maybe,Maybe,Don't know,No
25,Female,United States,No,No,Yes,Sometimes,6-25,No,Don't know,Not sure,No,No,Don't know,Medium,Yes,No,Some of them,No,No,Maybe,Don't know,No
33,Female,Sweden,No,Yes,Yes,Rarely,More than 1000,No,Yes,Yes,No,Yes,Yes,Medium,Maybe,No,Some of them,No,No,Yes,Don't know,No
31,Male,United States,No,No,No,Never,More than 1000,No,Don't know,No,No,Don't know,Don't know,Medium,Yes,No,Some of them,No,No,No,Don't know,No
26,Male,Canada,No,Yes,Yes,Often,26-100,Yes,Don't know,No,Don't know,Don't know,Don't know,Easy,No,No,Yes,Yes,No,No,Yes,No
48,Male,United Kingdom,No,No,No,Sometimes,26-100,No,Don't know,No,No,No,Don't know,Medium,Maybe,Maybe,No,No,No,No,No,No
35,Male,United Kingdom,No,No,No,Sometimes,6-25,No,No,No,No,No,Don't know,Difficult,Maybe,Maybe,Some of them,Yes,No,Maybe,No,Yes
32,Female,United States,No,No,No,Never,100-500,No,Don't know,Not sure,No,No,Don't know,Medium,Maybe,No,No,Some of them,No,Maybe,Don't know,No
29,Male,Canada,No,No,Yes,Sometimes,100-500,No,Don't know,Not sure,Don't know,Don't know,Yes,Medium,Maybe,No,Some of them,Some of them,No,Maybe,Yes,No
26,Male,United States,No,Yes,Yes,Often,6-25,No,Yes,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,No,No
28,Male,United States,No,Yes,Yes,Sometimes,26-100,No,Yes,Yes,No,No,Don't know,Medium,Maybe,No,Some of them,No,No,Maybe,No,No
23,Male,United States,No,No,No,Sometimes,More than 1000,No,Don't know,No,No,Don't know,Don't know,Medium,No,No,Some of them,Yes,No,Maybe,No,No
35,Male,United States,No,Yes,Yes,Sometimes,100-500,No,Yes,Yes,No,No,Don't know,Difficult,Maybe,Maybe,Some of them,Some of them,No,Maybe,No,Yes
29,Male,Germany,No,Yes,Yes,Sometimes,26-100,No,Don't know,No,No,No,Don't know,Easy,Maybe,No,Some of them,Some of them,Maybe,Maybe,Don't know,No
26,Male,United States,No,Yes,No,Sometimes,6-25,No,Yes,Yes,No,Yes,Yes,Easy,No,No,Some of them,Yes,Maybe,Maybe,No,No
33,Male,United States,No,Yes,Yes,Never,26-100,Yes,Yes,Yes,Yes,Yes,Don't know,Medium,Yes,Maybe,Yes,Some of them,No,No,Yes,No
33,Male,United States,No,No,No,Sometimes,More than 1000,Yes,Don't know,No,Don't know,Don't know,Don't know,Medium,Yes,No,Some of them,No,No,Maybe,Yes,No
22,Male,Brazil,Yes,No,No,Never,6-25,Yes,Don't know,No,No,No,Don't know,Medium,No,No,Yes,Yes,Maybe,No,Don't know,No
30,Female,Spain,No,Yes,No,Sometimes,500-1000,No,No,No,No,No,Don't know,Medium,Yes,Maybe,No,No,No,No,Don't know,No
33,Male,United States,No,Yes,Yes,Often,More than 1000,Yes,Yes,Yes,No,No,Don't know,Medium,Yes,No,No,No,No,No,No,No
21,Male,United States,No,Yes,No,Never,More than 1000,No,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Some of them,No,Maybe,Don't know,Yes
31,Other,United Kingdom,No,Yes,Yes,Sometimes,More than 1000,No,Don't know,No,No,No,Don't know,Medium,Yes,Maybe,No,No,No,Yes,Yes,No
26,Female,United States,No,No,Yes,Sometimes,100-500,Yes,Don't know,Not sure,Don't know,Don't know,Don't know,Medium,No,No,Some of them,Some of them,No,No,Yes,No
30,Male,United States,No,Yes,No,Often,6-25,No,Don't know,No,No,Don't know,Don't know,Medium,Maybe,No,Some of them,Yes,No,No,Don't know,No
30,Other,Germany,No,Yes,Yes,Sometimes,100-500,No,Don't know,Not sure,No,No,Don't know,Medium,No,No,Yes,Yes,Maybe,Maybe,No,No
23,Male,India,No,No,No,Sometimes,6-25,No,No,No,No,No,Don't know,Medium,No,No,Some of them,Yes,Maybe,Maybe,No,No
34,Male,Finland,No,No,No,Never,6-25,No,No,No,No,No,Don't know,Medium,No,No,Yes,Yes,No,Maybe,Don't know,No
55,Male,United States,No,Yes,Yes,Sometimes,1-5,Yes,No,Yes,No,Don't know,Don't know,Medium,Yes,Maybe,No,No,No,No,No,Yes
28,Male,Germany,No,Yes,Yes,Rarely,1-5,Yes,Yes,No,No,No,Yes,Easy,No,No,Yes,Yes,No,No,Yes,No
26,Male,Uruguay,No,No,No,Sometimes,26-100,Yes,Don't know,No,Don't know,No,Don't know,Medium,No,No,Some of them,No,No,Yes,Don't know,No
